subcorpus	case_type	doc_id	sent_id	source_start_line	source_end_line	token_count	speaker_count	top_speaker_share	has_strict_majority	speaker_token_counts	speaker_details	utterance_token_counts	unresolved_utterance_token_counts	utterance_doc_ids	crosses_utterance_doc	speaker_segments	tei_utterance_times	recommendation	text
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500001	Artur-J-Gvecg-P500001.resegsent153	4784	4807	22	2	0.636	yes	Artur-J-G3006:14; Artur-J-G3003:8	Artur-J-G3006(SEX=moški, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=-); Artur-J-G3003(SEX=moški, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=osrednjeslovenska)	Artur-J-Gvecg-P500001.u61:14; Artur-J-Gvecg-P500001.u62:8		Artur-J-Gvecg-P500001	no	1-14:Artur-J-G3006(Artur-J-Gvecg-P500001.u61); 15-22:Artur-J-G3003(Artur-J-Gvecg-P500001.u62)	Artur-J-Gvecg-P500001.u61:Artur-J-G3006:2017.767-2082.132; Artur-J-Gvecg-P500001.u62:Artur-J-G3003:2082.132-2415.501	omit sentence-level speaker_id; use suggested_speaker_segments	in sicer na naš naskle… naslednji sklop in vabim kar eee naslednjega govorca eee Drage prijateljice , dragi prijatelji govorjene slovenščine .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500001	Artur-J-Gvecg-P500001.resegsent273	7985	7989	3	2	0.667	yes	Artur-J-G3012:2; Artur-J-G3006:1	Artur-J-G3006(SEX=moški, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=-); Artur-J-G3012(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=-)	Artur-J-Gvecg-P500001.u86:2; Artur-J-Gvecg-P500001.u84:1		Artur-J-Gvecg-P500001	no	1:Artur-J-G3006(Artur-J-Gvecg-P500001.u84); 2-3:Artur-J-G3012(Artur-J-Gvecg-P500001.u86)	Artur-J-Gvecg-P500001.u84:Artur-J-G3006:3425.269-3428.805; Artur-J-Gvecg-P500001.u86:Artur-J-G3012:3432.572-3518.366	omit sentence-level speaker_id; use suggested_speaker_segments	eee Hvala .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500013	Artur-J-Gvecg-P500013.resegsent588	17465	17500	34	2	0.912	yes	Artur-J-G3018:31; Artur-J-G3013:3	Artur-J-G3018(SEX=ženski, AGE=-, EDUCATION=-, PERM-RESD=-); Artur-J-G3013(SEX=ženski, AGE=-, EDUCATION=fakulteta ali več, PERM-RESD=-)	Artur-J-Gvecg-P500013.u1:31; Artur-J-Gvecg-P500013.u3:3		Artur-J-Gvecg-P500013	no	1-31:Artur-J-G3018(Artur-J-Gvecg-P500013.u1); 32-34:Artur-J-G3013(Artur-J-Gvecg-P500013.u3)	Artur-J-Gvecg-P500013.u1:Artur-J-G3018:0.000-105.149; Artur-J-Gvecg-P500013.u3:Artur-J-G3013:106.542-228.913	omit sentence-level speaker_id; use suggested_speaker_segments	z nami so izredni profesor , profesor doktor , profesor doktor , zaslužni profesor doktor in izredna profesorica , ki je tudi prodekanja za znanost in jo prosim za uvodni nagovor Hvala lepa .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500014	Artur-J-Gvecg-P500014.resegsent1061	29296	29324	27	2	0.889	yes	Artur-J-G3018:24; Artur-J-G3019:3	Artur-J-G3018(SEX=ženski, AGE=-, EDUCATION=-, PERM-RESD=-); Artur-J-G3019(SEX=ženski, AGE=nad 60 let, EDUCATION=-, PERM-RESD=-)	Artur-J-Gvecg-P500014.u17:24; Artur-J-Gvecg-P500014.u18:3		Artur-J-Gvecg-P500014	no	1-24:Artur-J-G3018(Artur-J-Gvecg-P500014.u17); 25-27:Artur-J-G3019(Artur-J-Gvecg-P500014.u18)	Artur-J-Gvecg-P500014.u17:Artur-J-G3018:530.238-539.083; Artur-J-Gvecg-P500014.u18:Artur-J-G3019:539.083-540.115:trans=smooth	omit sentence-level speaker_id; use suggested_speaker_segments	je pa že po tem , da je rast številka klicev eee zadostən podatek , da je bil ta telefon več kot nujen , Res je .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500046	Artur-J-Gvecg-P500046.resegsent4332	146493	146505	11	2	0.636	yes	Artur-J-G3092:7; Artur-J-G3090:4	Artur-J-G3090(SEX=moški, AGE=-, EDUCATION=-, PERM-RESD=-); Artur-J-G3092(SEX=ženski, AGE=18 do 34 let, EDUCATION=srednja šola, PERM-RESD=jugovzhodna Slovenija)	Artur-J-Gvecg-P500047.u1:7; Artur-J-Gvecg-P500046.u49:4		Artur-J-Gvecg-P500046; Artur-J-Gvecg-P500047	yes	1-4:Artur-J-G3090(Artur-J-Gvecg-P500046.u49); 5-11:Artur-J-G3092(Artur-J-Gvecg-P500047.u1)	Artur-J-Gvecg-P500046.u49:Artur-J-G3090:1575.938-1632.895; Artur-J-Gvecg-P500047.u1:Artur-J-G3092:0.000-85.587	omit sentence-level speaker_id; use suggested_speaker_segments	srečno in na svidenje e , lep pozdrav vsem skupaj .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500059	Artur-J-Gvecg-P500059.resegsent6106	205974	205997	22	2	0.682	yes	Artur-J-G3121:15; Artur-J-G3120:7	Artur-J-G3120(SEX=ženski, AGE=-, EDUCATION=višja ali visoka šola, PERM-RESD=-); Artur-J-G3121(SEX=ženski, AGE=-, EDUCATION=višja ali visoka šola, PERM-RESD=-)	Artur-J-Gvecg-P500059.u15:15; Artur-J-Gvecg-P500059.u14:7		Artur-J-Gvecg-P500059	no	1-7:Artur-J-G3120(Artur-J-Gvecg-P500059.u14); 8-22:Artur-J-G3121(Artur-J-Gvecg-P500059.u15)	Artur-J-Gvecg-P500059.u14:Artur-J-G3120:800.430-805.660:trans=overlap; Artur-J-Gvecg-P500059.u15:Artur-J-G3121:805.660-810.249:trans=smooth	omit sentence-level speaker_id; use suggested_speaker_segments	a səm kej pozabla pa ne vem E , kera və ta otvoritvəni dan , e , spada še en dogodək .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500059	Artur-J-Gvecg-P500059.resegsent6147	207592	207607	14	2	0.714	yes	Artur-J-G3121:10; Artur-J-G3119:4	Artur-J-G3121(SEX=ženski, AGE=-, EDUCATION=višja ali visoka šola, PERM-RESD=-); Artur-J-G3119(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=-)	Artur-J-Gvecg-P500059.u21:10; Artur-J-Gvecg-P500059.u22:4		Artur-J-Gvecg-P500059	no	1-10:Artur-J-G3121(Artur-J-Gvecg-P500059.u21); 11-14:Artur-J-G3119(Artur-J-Gvecg-P500059.u22)	Artur-J-Gvecg-P500059.u21:Artur-J-G3121:1166.049-1364.188; Artur-J-Gvecg-P500059.u22:Artur-J-G3119:1364.188-1368.047:trans=smooth	omit sentence-level speaker_id; use suggested_speaker_segments	e , prvič je bila predvajana instalacija , e , prvič je bila …
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500059	Artur-J-Gvecg-P500059.resegsent6186	208919	208950	30	2	0.900	yes	Artur-J-G3120:27; Artur-J-G3121:3	Artur-J-G3120(SEX=ženski, AGE=-, EDUCATION=višja ali visoka šola, PERM-RESD=-); Artur-J-G3121(SEX=ženski, AGE=-, EDUCATION=višja ali visoka šola, PERM-RESD=-)	Artur-J-Gvecg-P500059.u31:27; Artur-J-Gvecg-P500059.u32:3		Artur-J-Gvecg-P500059	no	1-27:Artur-J-G3120(Artur-J-Gvecg-P500059.u31); 28-30:Artur-J-G3121(Artur-J-Gvecg-P500059.u32)	Artur-J-Gvecg-P500059.u31:Artur-J-G3120:1811.801-1819.514:trans=smooth; Artur-J-Gvecg-P500059.u32:Artur-J-G3121:1811.801-1819.514:trans=overlap	omit sentence-level speaker_id; use suggested_speaker_segments	V torek deve… , skratka , Matija Ferlin , tud ga ne bi posebi predstavljala , velik dela v Sloveniji , ni prvič na Mladih levih , Ob sedmih .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500060	Artur-J-Gvecg-P500060.resegsent6413	216110	216133	22	2	0.636	yes	Artur-J-G3123:14; Artur-J-G3122:8	Artur-J-G3123(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=-); Artur-J-G3122(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=osrednjeslovenska)	Artur-J-Gvecg-P500060.u37:14; Artur-J-Gvecg-P500060.u38:8		Artur-J-Gvecg-P500060	no	1-14:Artur-J-G3123(Artur-J-Gvecg-P500060.u37); 15-22:Artur-J-G3122(Artur-J-Gvecg-P500060.u38)	Artur-J-Gvecg-P500060.u37:Artur-J-G3123:532.091-542.236; Artur-J-Gvecg-P500060.u38:Artur-J-G3122:542.236-543.686:trans=smooth	omit sentence-level speaker_id; use suggested_speaker_segments	prej səm spustila že ta , ne bomo nič razkrivali preveč o filmu , Ja , sej to , to je …
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500060	Artur-J-Gvecg-P500060.resegsent6512	218173	218199	25	2	0.520	yes	Artur-J-G3122:13; Artur-J-G3123:12	Artur-J-G3122(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=osrednjeslovenska); Artur-J-G3123(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=-)	Artur-J-Gvecg-P500060.u73:13; Artur-J-Gvecg-P500060.u74:12		Artur-J-Gvecg-P500060	no	1-13:Artur-J-G3122(Artur-J-Gvecg-P500060.u73); 14-25:Artur-J-G3123(Artur-J-Gvecg-P500060.u74)	Artur-J-Gvecg-P500060.u73:Artur-J-G3122:1067.722-1071.443; Artur-J-Gvecg-P500060.u74:Artur-J-G3123:1071.443-1074.385:trans=smooth	omit sentence-level speaker_id; use suggested_speaker_segments	to je zlo mešano , tko zlo , zlo je treba pər vsaki To morəm enkrət prit pogledat , res , prov bi rada .
