utterance_id	speaker_id
Artur-J-Gvecg-P500001.u1	Artur-J-G3006
Artur-J-Gvecg-P500001.u100	Artur-J-G3003
Artur-J-Gvecg-P500001.u102	Artur-J-G3006
Artur-J-Gvecg-P500001.u104	Artur-J-G3009
Artur-J-Gvecg-P500001.u105	Artur-J-G3006
Artur-J-Gvecg-P500001.u106	Artur-J-G3001
Artur-J-Gvecg-P500001.u108	Artur-J-G3001
Artur-J-Gvecg-P500001.u109	Artur-J-G3005
Artur-J-Gvecg-P500001.u11	Artur-J-G3006
Artur-J-Gvecg-P500001.u111	Artur-J-G3005
Artur-J-Gvecg-P500001.u113	Artur-J-G3005
Artur-J-Gvecg-P500001.u115	Artur-J-G3005
Artur-J-Gvecg-P500001.u117	Artur-J-G3007
Artur-J-Gvecg-P500001.u118	Artur-J-G3010
Artur-J-Gvecg-P500001.u120	Artur-J-G3010
Artur-J-Gvecg-P500001.u122	Artur-J-G3010
Artur-J-Gvecg-P500001.u124	Artur-J-G3010
Artur-J-Gvecg-P500001.u126	Artur-J-G3010
Artur-J-Gvecg-P500001.u128	Artur-J-G3004
Artur-J-Gvecg-P500001.u13	Artur-J-G3006
Artur-J-Gvecg-P500001.u130	Artur-J-G3004
Artur-J-Gvecg-P500001.u132	Artur-J-G3004
Artur-J-Gvecg-P500001.u134	Artur-J-G3004
Artur-J-Gvecg-P500001.u136	Artur-J-G3004
Artur-J-Gvecg-P500001.u138	Artur-J-G3004
Artur-J-Gvecg-P500001.u140	Artur-J-G3004
Artur-J-Gvecg-P500001.u142	Artur-J-G3004
Artur-J-Gvecg-P500001.u15	Artur-J-G3006
Artur-J-Gvecg-P500001.u17	Artur-J-G3006
Artur-J-Gvecg-P500001.u19	Artur-J-G3006
Artur-J-Gvecg-P500001.u21	Artur-J-G3006
Artur-J-Gvecg-P500001.u23	Artur-J-G3006
Artur-J-Gvecg-P500001.u25	Artur-J-G3006
Artur-J-Gvecg-P500001.u27	Artur-J-G3006
Artur-J-Gvecg-P500001.u29	Artur-J-G3006
Artur-J-Gvecg-P500001.u3	Artur-J-G3006
Artur-J-Gvecg-P500001.u30	Artur-J-G3008
Artur-J-Gvecg-P500001.u32	Artur-J-G3008
Artur-J-Gvecg-P500001.u34	Artur-J-G3011
Artur-J-Gvecg-P500001.u36	Artur-J-G3011
Artur-J-Gvecg-P500001.u38	Artur-J-G3011
Artur-J-Gvecg-P500001.u40	Artur-J-G3011
Artur-J-Gvecg-P500001.u42	Artur-J-G3011
Artur-J-Gvecg-P500001.u44	Artur-J-G3011
Artur-J-Gvecg-P500001.u46	Artur-J-G3011
Artur-J-Gvecg-P500001.u48	Artur-J-G3006
Artur-J-Gvecg-P500001.u5	Artur-J-G3006
Artur-J-Gvecg-P500001.u50	Artur-J-G3006
Artur-J-Gvecg-P500001.u52	Artur-J-G3001
Artur-J-Gvecg-P500001.u54	Artur-J-G3011
Artur-J-Gvecg-P500001.u56	Artur-J-G3006
Artur-J-Gvecg-P500001.u57	Artur-J-G3008
Artur-J-Gvecg-P500001.u59	Artur-J-G3011
Artur-J-Gvecg-P500001.u61	Artur-J-G3006
Artur-J-Gvecg-P500001.u62	Artur-J-G3003
Artur-J-Gvecg-P500001.u64	Artur-J-G3003
Artur-J-Gvecg-P500001.u66	Artur-J-G3003
Artur-J-Gvecg-P500001.u67	Artur-J-G3012
Artur-J-Gvecg-P500001.u69	Artur-J-G3012
Artur-J-Gvecg-P500001.u7	Artur-J-G3006
Artur-J-Gvecg-P500001.u71	Artur-J-G3012
Artur-J-Gvecg-P500001.u73	Artur-J-G3012
Artur-J-Gvecg-P500001.u74	Artur-J-G3009
Artur-J-Gvecg-P500001.u76	Artur-J-G3009
Artur-J-Gvecg-P500001.u78	Artur-J-G3009
Artur-J-Gvecg-P500001.u80	Artur-J-G3006
Artur-J-Gvecg-P500001.u82	Artur-J-G3006
Artur-J-Gvecg-P500001.u84	Artur-J-G3006
Artur-J-Gvecg-P500001.u86	Artur-J-G3012
Artur-J-Gvecg-P500001.u88	Artur-J-G3006
Artur-J-Gvecg-P500001.u9	Artur-J-G3006
Artur-J-Gvecg-P500001.u90	Artur-J-G3001
Artur-J-Gvecg-P500001.u92	Artur-J-G3009
Artur-J-Gvecg-P500001.u94	Artur-J-G3006
Artur-J-Gvecg-P500001.u96	Artur-J-G3005
Artur-J-Gvecg-P500001.u98	Artur-J-G3006
Artur-J-Gvecg-P500002.u1	Artur-J-G3002
Artur-J-Gvecg-P500013.u1	Artur-J-G3018
Artur-J-Gvecg-P500013.u10	Artur-J-G3016
Artur-J-Gvecg-P500013.u100	Artur-J-G3017
Artur-J-Gvecg-P500013.u102	Artur-J-G3017
Artur-J-Gvecg-P500013.u104	Artur-J-G3017
Artur-J-Gvecg-P500013.u106	Artur-J-G3018
Artur-J-Gvecg-P500013.u108	Artur-J-G3043
Artur-J-Gvecg-P500013.u109	Artur-J-G3016
